,part_number,description_x,qty,unit,location,tracking,expiration,lot,available_x,data_available,data_available_flag,part,description_y,uom,onhand,allocated,notavailable,dropship,available_y,onorder,committed,short,Commited_flag
0,CS#5005,Potassium Iodate,33.635,kg,Stock Bin # E15,"ExpDate: 2023-03-31

Lot#: 20210326189
",2023-03-31,"20210326189
",1,0,0,CS#5005,Potassium Iodate,kg,158.48,119.00,0.00,0.0,39.48,0.00,0.00,0.00,0
1,CS#5005,Potassium Iodate,124.845,kg,Stock Bin # E15,"ExpDate: 2023-07-31

Lot#: 20210728191
",2023-07-31,"20210728191
",1,0,0,CS#5005,Potassium Iodate,kg,158.48,119.00,0.00,0.0,39.48,0.00,0.00,0.00,0
2,CS#5038,L-Arginine AKG 2:1 Dihydrate,4.593,kg,Expired D49,"ExpDate: 2021-09-22

Lot#: C541909231
",2021-09-22,"C541909231
",1,0,0,CS#5038,L-Arginine AKG 2:1 Dihydrate,kg,4.593,0.00,4.593,0.0,0.00,0.00,0.00,0.00,0
3,CS#5089,Chromium Aspartate (Cr 2%) Aspartic Acid,22.20,kg,Stock Bin # D1,"ExpDate: 2024-08-31

Lot#: 523360
",2024-08-31,"523360
",1,0,0,CS#5089,Chromium Aspartate (Cr 2%) Aspartic Acid,kg,22.20,0.00,0.00,0.0,22.20,0.00,0.00,0.00,0
4,CS#5157,"Nattokinase 20,000 fu/g",9.757,kg,Stock Bin # D26,"ExpDate: 2023-08-31

Lot#: YN20170313A01
",2023-08-31,"YN20170313A01
",1,0,0,CS#5157,"Nattokinase 20,000 fu/g",kg,9.757,0.00,0.00,0.0,9.757,0.00,0.00,0.00,0
5,CS#5170,Deep Sea Salt,13.69,kg,Stock Bin # F2,"ExpDate: 2023-06-30

Lot#: 22084
",2023-06-30,"22084
",1,0,0,CS#5170,Deep Sea Salt,kg,13.69,0.00,0.00,0.0,13.69,0.00,0.00,0.00,0
6,CS#5173,Rice Bran Meal,25.737,kg,Stock Bin # F3,"ExpDate: 2022-10-21

Lot#: 21294-353-M
",2022-10-21,"21294-353-M
",1,0,0,CS#5173,Rice Bran Meal,kg,25.737,"1,291.59583",0.00,0.0,0.00,0.00,0.00,"1,265.85883",0
7,CS#5186,Rice Bran Meal,108.969,kg,Stock Bin # E25,"ExpDate: 2022-04-15

Lot#: 21105-129-M
",2022-04-15,"21105-129-M
",1,0,0,CS#5186,Rice Bran Meal,kg,134.602,0.00,25.633,0.0,108.969,0.00,0.00,0.00,0
8,CS#5196,4 oz Clear Type III Glass Jar 58-400,288.00,ea,Stock Bin # B19,,,,1,0,0,CS#5196,4 oz Clear Type III Glass Jar 58-400,ea,288.00,0.00,0.00,0.0,288.00,0.00,0.00,0.00,0
9,CS#5197,58-400 Black Smooth Lid - Heat Inductive Liner,304.00,ea,Stock Bin # C24,,,,1,0,0,CS#5197,58-400 Black Smooth Lid - Heat Inductive Liner,ea,304.00,0.00,0.00,0.0,304.00,0.00,0.00,0.00,0
10,CS#5199,200cc PK/SS 38-400 Black bottles 335/cs,100.00,ea,Stock Bin # C7,"Lot#: 20190828
",,"20190828
",1,0,0,CS#5199,200cc PK/SS 38-400 Black bottles 335/cs,ea,160.00,0.00,0.00,0.0,160.00,0.00,0.00,0.00,0
11,CS#5199,200cc PK/SS 38-400 Black bottles 335/cs,60.00,ea,Stock Bin # C7,"Lot#: U173412
",,"U173412
",1,0,0,CS#5199,200cc PK/SS 38-400 Black bottles 335/cs,ea,160.00,0.00,0.00,0.0,160.00,0.00,0.00,0.00,0
12,CS#5202,200cc Dark Amber PET Bottle 38-400,360.00,ea,Stock Bin # C15,,,,1,0,0,CS#5202,200cc Dark Amber PET Bottle 38-400,ea,360.00,0.00,0.00,0.0,360.00,0.00,0.00,0.00,0
