,Part,Description,UOM,OnHand,Allocated,NotAvailable,DropShip,Available,OnOrder,Committed,Short
0,BG001,"Power Clean Pet Tablet - Bulk - Power Clean 2000, Inc.",thou,0.00,0.00,0.00,0.0,0.00,1.00,0.00,0.00
1,BG004,Super Memory Formula - Bulk - New Age Products,thou,0.00,0.00,0.00,0.0,0.00,1.00,0.00,0.00
2,BG007,Lutein Eye Tablet - 7/16 Round Yellow - Bulk - Ameta,thou,70.00,550.00,0.00,0.0,0.00,550.00,0.00,480.00
3,BG009,Lutein Eye Tablet - Medium Oval Yellow - Bulk - Ameta,thou,0.00,"1,320.00",0.00,0.0,0.00,"1,320.00",0.00,"1,320.00"
4,BG015,Glucosamine Tablet White - Bulk - Ameta,tab,"305,600.00","330,000.00",0.00,0.0,0.00,0.00,"305,600.00","24,400.00"
5,BG021,White Mulberry Pure 500 mg - Bulk - Vox,thou,0.00,0.00,0.00,0.0,0.00,1.00,0.00,0.00
6,BG025,Lutein Eye Tablet - Medium Oval Blue - Bulk - Ameta,thou,0.00,"1,100.00",0.00,0.0,0.00,"1,100.00",0.00,"1,100.00"
7,BG035,Nitric Shock Pre Workout (Fruit Punch) - Bulk Powder - Vox Nutrition,kg,0.00,5.00,0.00,0.0,0.00,0.00,0.00,5.00
8,BG038,Male Enhancement - Bulk - Vox Nutrition,thou,"1,566.00","5,500.00",0.00,0.0,0.00,"5,500.00",0.00,"3,934.00"
9,BG043,Superflex - Bulk Powder - Kirk Steirwalt,kg,0.00,"4,800.00",0.00,0.0,0.00,"4,800.00",0.00,"4,800.00"
10,BG050,Joint Support - Bulk - Regentec Pte Ltd,tab,0.00,"16,127,100.00",0.00,0.0,0.00,"16,132,000.00",0.00,"16,127,100.00"
11,BG086,Kona Gold - Bulk - Youngevity,thou,0.00,152.698,0.00,0.0,0.00,153.00,0.00,152.698
12,BG101,Ocu Plus Multi - Bulk - Rebuild Your VIsion,tab,0.00,"391,376.00",0.00,0.0,0.00,"392,000.00",0.00,"391,376.00"
13,BG119,Force X7 Testosterone Booster - Bulk - Alpha Wolf Nutrition,thou,0.00,389.298,0.00,0.0,0.00,390.00,0.00,389.298
14,BG121,5-HTP - Bulk - Vox Nutrition,cap,"5,232,750.00","10,450,000.00",0.00,0.0,0.00,"4,950,000.00","5,232,750.00","5,217,250.00"
15,BG126,"Collagen Recovery Complex - Bulk - Truth Skin Health, Inc",thou,103.00,0.00,103.00,0.0,0.00,0.00,0.00,0.00
16,BG139,Herb Tablet - Bulk - Ameta,thou,0.00,660.00,0.00,0.0,0.00,660.00,0.00,660.00
17,BG142,Heilen Med Fertile Easy - Bulk - Med Dent Company,thou,0.00,391.437,0.00,0.0,0.00,392.00,0.00,391.437
18,BG166,Next Level Superfoods Multivitamin - Bulk - Alpha Wolf Nutrition,tab,0.00,"386,978.00",0.00,0.0,0.00,"388,000.00",0.00,"386,978.00"
19,BG182,Magnesium Glycinate - Bulk Capsules - 13072,thou,66.00,0.00,0.00,0.0,66.00,0.00,0.00,0.00
20,BG189,Herb Capsule - Bulk - Ameta,cap,"293,900.00","330,000.00",0.00,0.0,0.00,0.00,"293,900.00","36,100.00"
21,BG195,Vitamin C Tablet - Bulk - Ameta,thou,0.00,330.00,0.00,0.0,0.00,330.00,0.00,330.00
22,BG205,Multi Vitamin Tablet - Bulk - Ameta,tab,264.00,"550,000.00",0.00,0.0,0.00,"550,000.00",0.00,"549,736.00"
23,BG218,Platinum Turmeric - Bulk - Vox Nutrition,cap,0.00,"4,400,000.00",0.00,0.0,0.00,"4,400,000.00",0.00,"4,400,000.00"
24,BG236,Sea Moss Plus - Bulk - TC Best LLC / BEAUTY'S 7 / O Nutritions,cap,0.00,"2,013,000.00",0.00,0.0,0.00,"2,013,000.00",0.00,"2,013,000.00"
25,BG249,Lutein Eye Tablet - 7/16 Round Light Green - Bulk - Ameta,tab,0.00,"600,000.00",0.00,0.0,0.00,"550,000.00",0.00,"600,000.00"
26,BG283,Natu Roids - Bulk - Nature Gains LLC,cap,0.00,"985,600.00",0.00,0.0,0.00,"906,000.00",0.00,"985,600.00"
27,BG291,Magnesium Citrate - Bulk - Number One Nutrition,cap,0.00,"388,289.00",0.00,0.0,0.00,"389,000.00",0.00,"388,289.00"
28,BG302,"Healthy Cell Growth / Epiquercican - Bulk - Dr. Rath International, Inc.",tab,0.00,"443,088.00",0.00,0.0,0.00,0.00,0.00,"443,088.00"
29,BG329,LysinC Drink Mix (Orange) - Bulk Powder - Dr. Rath International Inc.,kg,598.55,"2,798.40",0.00,0.0,0.00,"2,782.00",0.00,"2,199.85"
30,BG337,"VitaCForte (Capsule) - Bulk - Dr. Rath International, Inc.",cap,0.00,"665,500.00",0.00,0.0,0.00,"666,000.00",0.00,"665,500.00"
31,BG340,Keto Coffee Creamer Powder (Chocolate) - Bulk - Priority Unlimited,kg,1.00,0.00,1.00,0.0,0.00,0.00,0.00,0.00
32,BG350,Turmeric w/ BioPerine (Organic Ingredients) - Bulk - Vox Nutrition,cap,"119,628.00","66,735,000.00",0.00,0.0,0.00,"66,000,000.00",388.00,"66,615,372.00"
33,BG351,Turmeric w/ Ginger (Organic Ingredients) - Bulk - Vox Nutrition,cap,"15,522,814.00","67,008,000.00",0.00,0.0,0.00,"49,500,000.00","15,522,314.00","51,485,186.00"
34,BG359,VitaGlu Immune Plus Capsule - Bulk - Pharmzens,cap,0.00,"332,750.00",0.00,0.0,0.00,"333,000.00",0.00,"332,750.00"
35,BG361,"Healthy Collagen Capsule - Bulk - Dr. Rath International, Inc.",cap,0.00,"171,699.00",0.00,0.0,0.00,"172,000.00",0.00,"171,699.00"
36,BG397,"Nerve Reverse - Bulk - Pogue Medical Services, LLC",cap,0.00,"835,450.00",0.00,0.0,0.00,"836,000.00",0.00,"835,450.00"
37,BG411,Sea Moss Capsule - Bulk - Supplement Manufacturing Partners,cap,0.00,"76,000.00",0.00,0.0,0.00,0.00,0.00,"76,000.00"
38,BG419,"Multi Collagen Complex Powder - Bulk - Just Jandi, LLC",kg,1.00,0.00,1.00,0.0,0.00,0.00,0.00,0.00
39,BG425,Custom Beef Organ Complex Capsule - Bulk - VALKYRIE HAUS INC,cap,0.00,"711,873.00",0.00,0.0,0.00,"712,000.00",0.00,"711,873.00"
40,BG426,"Immune Complex - Bulk - Spartis, LLC",cap,0.00,"1,331,000.00",0.00,0.0,0.00,"1,331,000.00",0.00,"1,331,000.00"
41,BG432,MWO KSM-66 Ashwagandha Capsule - Bulk - Growth & Peace / ILTERVET,cap,0.00,"335,500.00",0.00,0.0,0.00,"336,000.00",0.00,"335,500.00"
42,BG433,Shoden Ashwagandha Capsule - Bulk - Growth & Peace / ILTERVET,cap,0.00,"331,962.00",0.00,0.0,0.00,"332,000.00",0.00,"331,962.00"
43,BG441,Triple Slimming Advance Step 3 - Bulk - Revival Point LLC,cap,"357,000.00","385,000.00",0.00,0.0,0.00,0.00,"357,000.00","28,000.00"
44,BG442,Flexacil - Bulk - Big Health LLC,cap,0.00,"305,000.00",0.00,0.0,0.00,"305,000.00",0.00,"305,000.00"
45,BG443,Autoimmune Mushroom Formula - Bulk - Wild Wholistic Inc.,cap,0.00,"391,437.00",0.00,0.0,0.00,"392,000.00",0.00,"391,437.00"
46,BG445,Turkesterone - Bulk - Nature Gains LLC,cap,0.00,"521,268.00",0.00,0.0,0.00,"522,000.00",0.00,"521,268.00"
47,BG446,Pathogen Punisher - Bulk - Methylnutrients (dba Life Support Health Products),cap,0.00,"365,838.00",0.00,0.0,0.00,"366,000.00",0.00,"365,838.00"
48,BG447,Gymnema Supreme + - Bulk - Cornerstone Labs,cap,0.00,"389,298.00",0.00,0.0,0.00,"390,000.00",0.00,"389,298.00"
49,BG448,Arousal Boosting Formula - Bulk - Supernatural Man LLC,cap,0.00,"385,000.00",0.00,0.0,0.00,"385,000.00",0.00,"385,000.00"
50,BG449,Energy Recharge Blend - Bulk - Supernatural Man LLC,cap,"338,800.00","385,000.00",0.00,0.0,0.00,0.00,"338,800.00","46,200.00"
51,BG450,Activated Desire Blend - Bulk - Supernatural Man LLC,cap,"372,000.00","385,000.00",0.00,0.0,0.00,0.00,"372,000.00","13,000.00"
52,BG451,Magnesium Glycinate - Bulk Tablets - Vox Nutrition,tab,0.00,"3,300,000.00",0.00,0.0,0.00,"6,000,000.00",0.00,"3,300,000.00"
53,BG452,Zinc & Vit D - Bulk - Erta Ale LLC,cap,0.00,"1,342,000.00",0.00,0.0,0.00,"1,342,000.00",0.00,"1,342,000.00"
54,BG453,"Morning Rx - Bulk - Hangover ZERO, LLC",cap,0.00,"558,800.00",0.00,0.0,0.00,"559,000.00",0.00,"558,800.00"
55,BG454,Menopause Support Supplement - Bulk - Number One Nutrition,cap,0.00,"391,437.00",0.00,0.0,0.00,"392,000.00",0.00,"391,437.00"
56,BG455,Multivitamin Capsule - Bulk - LONGEV PTE. LTD.,cap,0.00,"303,303.00",0.00,0.0,0.00,"304,000.00",0.00,"303,303.00"
57,BG456,"Quercetin, Bromelain & Zinc - Bulk - Erta Ale LLC",cap,0.00,"402,600.00",0.00,0.0,0.00,"403,000.00",0.00,"402,600.00"
58,BG457,Collagen Peptide Powder w Biotin - Bulk Powder - PLS,kg,0.00,"1,434.00",0.00,0.0,0.00,"1,434.00",0.00,"1,434.00"
59,BG458,Iodine Capsule - Bulk - Evexias Health Solutions,cap,0.00,"389,207.00",0.00,0.0,0.00,"390,000.00",0.00,"389,207.00"
60,BG459,YouCell RR / Relavit - Bulk - Dr. Rath Health Programs B.V.,cap,0.00,"665,500.00",0.00,0.0,0.00,"666,000.00",0.00,"665,500.00"
61,BG460,YouCell D / Diacor - Bulk - Dr. Rath Health Programs B.V.,cap,0.00,"500,500.00",0.00,0.0,0.00,"501,000.00",0.00,"500,500.00"
62,BG461,VitacorPlus - Bulk - Dr. Rath Health Programs B.V.,cap,0.00,0.00,0.00,0.0,0.00,"5,005,000.00",0.00,0.00
63,BG462,DHT Blocker Capsule - Bulk - Salva LLC,cap,0.00,"671,000.00",0.00,0.0,0.00,"660,000.00",0.00,"671,000.00"
64,BG463,Zinc Picolinate - Bulk - Vox Nutrition,cap,0.00,825.00,0.00,0.0,0.00,"825,000.00",0.00,825.00
65,BG464,Selenium 200mcg - Bulk - Vox Nutrition,thou,0.00,825.00,0.00,0.0,0.00,825.00,0.00,825.00
66,BG465,Molecular Glutathione - Bulk - Vox Nutrition,thou,0.00,825.00,0.00,0.0,0.00,825.00,0.00,825.00
67,BG466,Vitamin C - Bulk - Vox Nutrition,thou,0.00,"1,100.00",0.00,0.0,0.00,"1,100.00",0.00,"1,100.00"
68,BG467,Multivitamin + Iron Capsule - Bulk - BE Nutrition,cap,0.00,"292,019.00",0.00,0.0,0.00,"292,000.00",0.00,"292,019.00"
69,BG468,Multivitamin Capsule - Bulk - BE Nutrition,cap,0.00,"97,370.00",0.00,0.0,0.00,"98,000.00",0.00,"97,370.00"
70,CS#5005,Potassium Iodate,kg,33.635,0.00,0.00,0.0,33.635,0.00,0.00,0.00
71,CS#5038,L-Arginine AKG 2:1 Dihydrate,kg,4.593,0.00,4.593,0.0,0.00,0.00,0.00,0.00
72,CS#5079,L-Lysine Monohydrochloride,kg,1.878,0.00,1.878,0.0,0.00,0.00,0.00,0.00
73,CS#5089,Chromium Aspartate (Cr 2%) Aspartic Acid,kg,22.20,0.00,0.00,0.0,22.20,0.00,0.00,0.00
74,CS#5091,MCH-Cal Microcrystalline Hydroxyappetite Calcium,kg,7.50,0.00,7.50,0.0,0.00,0.00,0.00,0.00
