Quality Supplement Mfg,,,,,,,
On Hand,,,,,,,
 ,,,,,,,
Part Number,Description,Qty,,Location,Tracking,,
Main,,,,,,,
R017,Oat Straw Extract 4:1,0.58,kg,Expired D48,"ExpDate: 2021-10-30

Lot#: 18-03-080/0124
",,
R075,Vanadium Aminomin 0.5%,0.877,kg,Expired D48,"ExpDate: 2021-11-01

Lot#: 546895
",,
R1022,FloraGLO��(10% Lutein),7.80,kg,Expired D48,"ExpDate: 2021-11-08

Lot#: UT18110014
",,
R1088,QUERCEFIT�,0.656,kg,Expired D48,"ExpDate: 2021-11-01

Lot#: 32874/M1
",,
R131,Barley Grass Powder,2.016,kg,Expired D48,"ExpDate: 2021-11-01

Lot#: SBS-S040337B
",,
R343,Shiitake Mushroom Powder,0.859,kg,Expired D48,"ExpDate: 2021-10-30

Lot#: 20-05-070
",,
R459,Potassium Iodide,16.515,kg,Expired D48,"ExpDate: 2021-11-30

Lot#: 1811063
",,
R808,Zinc Orotate 17%,9.66998,kg,Expired D48,"ExpDate: 2021-11-01

Lot#: 111801A01
",,
R848,Lithium Orotate 9%,1.93,kg,Expired D48,"ExpDate: 2021-10-30

Lot#: 653335
",,
R878,Calcium Silicate,1.313,kg,Expired D48,"ExpDate: 2021-11-03

Lot#: 378110441
",,
R898,Chaste Tree Berry Extract 3% Flavones UV (10:1),1.123,kg,Expired D48,"ExpDate: 2021-11-11

Lot#: CJKMJZ-A-602144
",,
R958,HMR Lingnan�,0.782,kg,Expired D48,"ExpDate: 2021-11-01

Lot#: 12818003
",,
CS#5038,L-Arginine AKG 2:1 Dihydrate,4.593,kg,Expired D49,"ExpDate: 2021-09-22

Lot#: C541909231
",,
R1016,Pancreatin (4X USP),24.021,kg,Expired D49,"ExpDate: 2020-12-01

Lot#: NIGFPNCR4-1906V069C17
",,
R102,Black Walnut Hull Powder,5.637,kg,Expired D49,"ExpDate: 2021-08-30

Lot#: BW180831
",,
R1049,Plant Sterols [Phytosterols 90% (beta-sitosterol)](ALLERGEN:SOY),41.935,kg,Expired D49,"ExpDate: 2021-12-01

Lot#: 20190113
",,
R383,Saw Palmetto Extract (45% Fatty Acids by GC),12.00,kg,Expired D49,"ExpDate: 2021-08-09

Lot#: FA20180810
",,
R626,"Amylase 50,000 SKB/g",2.036,kg,Expired D49,"ExpDate: 2021-03-24

Lot#: ALI19267-01
",,
R687,Buckwheat Powder,1.764,kg,Expired D49,"ExpDate: 2020-10-28

Lot#: BWP/17-10-295
",,
R691,Organic Indonesian Cinnamon (Cinnamomum burmannii),2.148,kg,Expired D49,"ExpDate: 2021-05-11

Lot#: V1957
",,
R692,DiCreatine Malate,0.076,kg,Expired D49,"ExpDate: 2020-11-08

Lot#: DCM20171109
",,
R698,Glucuronolactone,0.183,kg,Expired D49,"ExpDate: 2020-06-01

Lot#: 201606055
",,
R736,Organic Maca Root Powder,7.513,kg,Expired D49,"ExpDate: 2021-01-02

Lot#: 190200154
",,
R755,Magnesium Glycinate 20%,1.631,kg,Expired D49,"ExpDate: 2021-08-13

Lot#: GMFA19010
",,
R756,Kelp (Norwegian or Icelandic),4.00,kg,Expired D49,"ExpDate: 2022-01-03

Lot#: TYRFO418-KEL-O
",,
R757,Organic Spinach Powder,6.763,kg,Expired D49,"ExpDate: 2020-10-26

Lot#: 89775-50
",,
R766,Horny Goat Weed 10:1 (Epimedium Extract),7.64,kg,Expired D49,"ExpDate: 2020-08-19

Lot#: EP17082001
",,
R766,Horny Goat Weed 10:1 (Epimedium Extract),49.005,kg,Expired D49,"ExpDate: 2021-08-14

Lot#: ES18081502
",,
R767,St. John's Wort Extract 0.3% Hypericins,0.933,kg,Expired D49,"ExpDate: 2020-12-04

Lot#: 171205
",,
R889,MCT Oil Powder 70% (Osage),20.238,kg,Expired D49,"ExpDate: 2020-06-03

Lot#: 833901FW
",,
R890,Coconut Milk Powder (Osage),26.658,kg,Expired D49,"ExpDate: 2021-08-22

Lot#: VCMP1907A
",,
CS#5206,goBHB® Calcium Beta-Hydroxybutyrate,23.00,kg,Expired D51,"ExpDate: 2020-06-07

Lot#: 28C-KY20180603
",,
CS#5206,goBHB® Calcium Beta-Hydroxybutyrate,25.00,kg,Expired D51,"ExpDate: 2020-05-15

Lot#: 28C-KY20180512
",,
CS#5207,goBHB® Magnesium Beta-Hydroxybutyrate,15.00,kg,Expired D51,"ExpDate: 2020-04-24

Lot#: 28D-KY20180411
",,
R1052,Red Raspberry Leaf Extract 10:1,16.00,kg,Expired D51,"ExpDate: 2021-11-21

Lot#: RA181122
",,
R1070,Capsimax�,5.592,kg,Expired D51,"ExpDate: 2021-11-27

Lot#: 41474
",,
R1236,EVTeneSol 3% powder,11.259,kg,Expired D51,"ExpDate: 2021-11-28

Lot#: B2/3_T/0009_1_290520
",,
R127,Vitamin E (dl-alpha-tocopherol) Acetate (synthetic) 50%,4.75,kg,Expired D51,"ExpDate: 2021-09-08

Lot#: 2018090506
",,
R370,L-Serine,17.164,kg,Expired D51,"ExpDate: 2020-10-10

Lot#: 181005
",,
R381,Beta Sitosterol 40% (95% Phytosterols) (ALLERGEN: SOY),7.87,kg,Expired D51,"ExpDate: 2021-08-16

Lot#: 200817P002
",,
R467,Magnesium Chloride,20.00,kg,Expired D51,"ExpDate: 2021-03-01

Lot#: 300315
",,
R589,Bilberry Fruit Powder,15.963,kg,Expired D51,"ExpDate: 2020-12-17

Lot#: 171222-2
",,
R653,Iodine Chelate 1%,22.778,kg,Expired D51,"ExpDate: 2021-12-03

Lot#: 666132
",,
R697,Glycocyamine,18.58,kg,Expired D51,"ExpDate: 2020-01-05

Lot#: 20170502
",,
R744,Lemon Balm Extract 4:1,17.445,kg,Expired D51,"ExpDate: 2020-08-03

Lot#: 170309
",,
R747,Eggshell Membrane Powder,2.55,kg,Expired D51,"ExpDate: 2021-11-26

Lot#: T1811049N
",,
R786,Beet Extract Root 4:1,22.42,kg,Expired D51,"ExpDate: 2020-11-21

Lot#: 171122
",,
R805,Tribulus Terrestris Extract 80% Saponins,20.00,kg,Expired D51,"ExpDate: 2020-06-03

Lot#: TE17030780
",,
R807,Chamomile Extract 10:1,35.00,kg,Expired D51,"ExpDate: 2020-09-03

Lot#: CE17031004
",,
R817,"Beta-1,3 / 1,6-Glucan 70%",15.265,kg,Expired D51,"ExpDate: 2019-03-11

Lot#: SB16-H112251
",,
R909,Hawthorn Leaf Extract 1.8% Vitexin-2'-O-Rhamnosides HPLC (4:1)�,11.515,kg,Expired D51,"ExpDate: 2021-11-25

Lot#: 161126
",,
R956,Rhodiola Rosea Extract (3% Salidroside)�,1.946,kg,Expired D51,"ExpDate: 2021-11-04

Lot#: RH20190412-R
",,
CS#5091,MCH-Cal Microcrystalline Hydroxyappetite Calcium,7.50,kg,Expired D52,"ExpDate: 2019-03-22

Lot#: 61873
",,
CS#5172,Vitamin K1 1%,6.00,kg,Expired D52,"ExpDate: 2019-03-01

Lot#: 059371
",,
CS#5172,Vitamin K1 1%,15.00,kg,Expired D52,"ExpDate: 2019-03-01

Lot#: 080701
",,
R031,Zinc Aspartate 20%,6.813,kg,Expired D52,"ExpDate: 2020-09-01

Lot#: 521839
",,
R048,Mucuna Pruriens Extract L-dopa 15% HPLC,4.872,kg,Expired D52,"ExpDate: 2021-09-30

Lot#: SB19-H101427
",,
R068,Lycopene 5%,4.419,kg,Expired D52,"ExpDate: 2020-09-19

Lot#: LY20190920
",,
R1008,Organic Fo-Ti Root Powder,0.818,kg,Expired D52,"ExpDate: 2021-02-09

Lot#: FR180210
",,
R1009,Rhodiola Rosea Extract (3% Rosavins + 1% Salidroside),4.302,kg,Expired D52,"ExpDate: 2021-09-09

Lot#: CHJT-A-802823
",,
R1035,Caprylic Acid (Magnesium Caprylate),5.356,kg,Expired D52,"ExpDate: 2021-09-01

Lot#: 539453
",,
R1065,"Probiotic Blend (20 billion CFU/g) (L. Acidophilus, L. Plantarum, L. Brevis, L. Fermentum, Lactococcus Lactis)",0.398,kg,Expired D52,"ExpDate: 2021-09-26

Lot#: WK20190927005
",,
R1066,DigeSEB Super Pet,1.99,kg,Expired D52,"ExpDate: 2021-09-01

Lot#: AF9091006
",,
R1067,Hemp Protein Powder 50% (Organic),11.00,kg,Expired D52,"ExpDate: 2020-01-10

Lot#: 0006
",,
R1100,Organic Damiana Leaf 10:1 Extract�,1.50,kg,Expired D52,"ExpDate: 2021-10-21

Lot#: TM191022
",,
R1107,Chaparral Leaf Powder,6.123,kg,Expired D52,"ExpDate: 2021-08-30

Lot#: 18-08-168-ER847
",,
R1128,Calcium Laurate,1.946,kg,Expired D52,"ExpDate: 2021-10-31

Lot#: 550112
",,
R1156,Masking Agent Natural Flavor FLA115960,5.404,kg,Expired D52,"ExpDate: 2021-04-30

Lot#: 101-200408-417
",,
R1183,PurC� Organic Vitamin C (from Amla Extract),2.848,kg,Expired D52,"ExpDate: 2021-10-01

Lot#: F219458
",,
R1197,Carboxymethyl Cellulose Gum (Non-GMO),5.581,kg,Expired D52,"ExpDate: 2021-10-01

Lot#: 2019096
",,
R1224,goMCT® (Medium Chain Triglyceride) Oil Powder - MCT 70% C8,18.00,kg,Expired D52,"ExpDate: 2021-09-24

Lot#: 7578-09252019
",,
R1228,Sweet Wormwood Extract 4:1 (Artemisia annua),13.743,kg,Expired D52,"ExpDate: 2021-10-15

Lot#: CQH-E-00418
",,
R125,Activated Charcoal (coconut shell),50.235,kg,Expired D52,"ExpDate: 2020-08-25

Lot#: CHXT-T-71019
",,
R1295,goFAT Macadamia Nut Oil Powder (Tapioca),8.575,kg,Expired D52,"ExpDate: 2021-02-06

Lot#: 71259
",,
