,part_number,description_x,lot,qty
682,R026,Vitamin C (Ascorbic Acid),"210405-C03
",995.79
668,R013,Maca Root Extract 0.6%,"3002-226-030221
",99.965
1252,R417,Muira Puama Extract 10:1,"MPE-20210419
",99.88
1159,R254,"Vitamin D3 Cholecalciferol (100,000 IU/g)","2021032601
",99.845
1480,R858,Epimedium Extract (Horny Goat Weed) PE 10% Icariins - HPLC,"EE21051010
",99.845
662,R008,L-Arginine HCl,"53212018
",99.845
863,R1129,Glucosamine Sulfate 2KCl (30-40 Mesh),"K2105071
",99.845
1088,R149,Quercetin Dihydrate 98%,"QD210305
",99.10
1078,R1375,Magnesium Glycinate 18%,"GMFH21017
",986.418
973,R1246,0 Gelatin Light Green Opaque 8713 Capsules,"7179127
","98,000.00"
860,R1129,Glucosamine Sulfate 2KCl (30-40 Mesh),"K2104014
",975.00
865,R1129,Glucosamine Sulfate 2KCl (30-40 Mesh),"K2104013
",975.00
344,PS#10105-CBM,25oz White HDPE Canister 89-400 96/case,"547070799
",960.00
341,PS#10105-CBM,25oz White HDPE Canister 89-400 96/case,"547070799
",960.00
8,CS#5173,Rice Bran Meal,"21294-353-M
",953.40
966,R1241,Organic White Rice Flour,"29701
",951.047
220,PS#10008-ALPHA,400cc White HDPE Bottle 45-400,"P191497
",95.00
242,PS#10015-ALPHA,200cc Black PET Bottle 38-400,"P204923
",948.00
257,PS#10019,38-400 White Ribbed Lid - Pressure Sensitive Liner 2900/case,"524501
",945.00
313,PS#10077,Tape Rolls - 36 / box,,94.00
1485,R863,Organic Irish Moss Powder,"OIME-2020-0811
",93.00
1103,R169,Magnesium Stearate,"MGST0K2007
",924.845
1328,R539,00 Plantcaps Clear Capsules,"7201005
","910,000.00"
376,PS#10142,Black Powder Free Nitrile Gloves  - Small 100 / box,,91.00
44,CS#5277,"45-400 Black-Gold Rim Metal Cap, Pulp & Poly Liner 2500 case","210908
",91.00
958,R1233,00 K-CAPS Vegetable Origin Capsules,"KC210324323
","900,000.00"
952,R1233,00 K-CAPS Vegetable Origin Capsules,"KC210320344
","900,000.00"
1397,R700,Sodium Chloride,"28918ACVAA
",90.80
1154,R247,L-Leucine,"CP03190905
",90.015
1081,R1388,Wild Yam (4:1 extract)(root),"SB20-H101584
",9.88
1280,R454,Blessed Thistle Powder,"CZYH-E-A006154
",9.87
1401,R707,Opadry Blue 03B10883,"WP825693
",9.825
4,CS#5157,"Nattokinase 20,000 fu/g","YN20170313A01
",9.757
757,R095,Zinc Oxide 80%,"21B3M307C
",9.705
1444,R808,Zinc Orotate 17%,"111801A01
",9.66998
1263,R439,Coleus Forskolin Extract 4:1,"MHQRH-190607
",9.667
1468,R843,Organic Black Maca Powder (Gelatinized),"3002-100-090519
",9.628
1463,R839,Mucuna Extract 98% L-Dopa HPLC (30:1),"CZXDB-C-A009195
",9.423
815,R1072,VitaCholineÃ¯Â¿Â½,"2004500123
",9.421
1365,R635,Ionic Trace Minerals,"704820
",9.398
1451,R819,Bilberry Fruit Extract (25% anthocyanosides) (Vaccinium myrtillus),"EB202103006
",9.309
1009,R1297,PreticXÃ¢ÂÂ¢,"70P20200424
",9.149
1506,R897,Eleuthero Root Extract 35:1 (Eleutherococcus Senticosus) (Siberian Ginseng),"SBT-S050414-35H
",9.00
1093,R154,Wheatgrass Powder,"GCF-200618
",9.00
26,CS#5261,Beef Kidney,"21PH31-177968 E
",9.00
516,PS#10266,"Shoe Covers - Size 12-15, Blue 150 pairs/carton","10266
",9.00
603,PS#10351,"45-400 Black Ribbed, Vented Heat Seal, Matte Top","202007578957
","9,858.00"
229,PS#10010,ALPHA - 150cc Black PET Bottle 38-400 410/case,"P204560
","9,430.00"
227,PS#10009-ALPHA,150cc White PET Bottle 38-400,"U212150
","9,020.00"
861,R1129,Glucosamine Sulfate 2KCl (30-40 Mesh),"K2105070
",899.845
862,R1129,Glucosamine Sulfate 2KCl (30-40 Mesh),"K2104012
",899.845
143,L#366,"Dr. Rath International, Inc., Healthy Immunity (U.S.) - 60ct Label",,89.00
586,PS#10332,80oz 120-400 HDPE Canister - Black,"CPI-80120B
",867.00
726,R055,Boswella Serrata 65%,"RXS-210130
",86.852
1161,R255,Calcium Citrate,"90940615
",86.50
320,PS#10083-Comar,150cc Dark Amber PET (PZ) Bottle 38-400 400/case,"23305365
",857.00
693,R036,Methylsulfonylmethane (MSM 40 Mesh),"SBU-S090500
",850.00
283,PS#10028,MRP-45-400 White Ribbed Lid - Pressure Sensitive Liner 1700/case,"201812514844
",850.00
138,L#319,"Dr. Barry's Remedies, Resp Relief - 120 ct",,850.00
1363,R629,Eyebright Powder,"EOP20210104-1
",84.948
47,CS#5280,Bovine Collagen A,"210317B
",839.88
149,L#427,"Gorilla Mind LLC, Curcumin C3 ComplexÃÂ® - 60 ct Label",,831.00
328,PS#10099,38-400 Black CRC Ribbed Lid - Heat Inductive Liner,"C77768911
",830.00
161,L#484,"Nature Gains LLC, Natu Roids - 60ct Label",,83.00
570,PS#10310-ALPHA,150cc Light Amber PET Bottle 38-400,"U202616
",820.00
574,PS#10310-ALPHA,150cc Light Amber PET Bottle 38-400,"U210690
",820.00
318,PS#10083,ALPHA - 150cc Dark Amber PET Bottle 38-400 410/case,"F201605
",820.00
584,PS#10325-ALPHA,175cc Dark Amber PET Bottle 38-400,"U202049
",815.00
526,PS#10269 - PERFORMANCE,400cc Cobalt Blue PET Bottle 45-400 168/case,"071620-400
",81.00
286,PS#10029,45-400 White CRC Ribbed Lid - Heat Inductive Liner 1000/case,"101486
",806.00
629,PS#10389,180cc White HDPE Bottle 45-400,"Y201395
",806.00
294,PS#10042,13cc Natural Scoop Short Handle 2700 pcs,"16630
",800.00
1557,R965,0 Gelatin Capsule Black Body 1975.01 and Pink Cap 4312.01,"7170311
","800,000.00"
1266,R442,Methylene Chloride,"84852-01
",80.00
397,PS#10168,8 oz Black PET Canister (70-400),"201754
",80.00
1325,R538,0 Plantcaps Clear Capsules,"7170800
","80,000.00"
1547,R950,Organic Astragalus Powder,"20210407
",8.611
1039,R1330,Cordyceps militaris (30% Polysaccharides) (fruiting body),"20181032
",8.60
1315,R509,Maitake Mushroom Powder,"CHSH-A-902604
",8.596
1019,R131,Barley Grass Powder,"20200417
",8.576
908,R1177,Berberine HCl 8% (Phellodendron amurense),"CBMHL-E-903284
",8.523
984,R126,Potassium Chloride FCC grade,"K19456
",8.50
1419,R744,Lemon Balm Extract 4:1,"20191224
",8.50
1287,R458,Fumaric Acid,"1807003
",8.50
1275,R451,Orchic Substance (Bovine),"08100496-8
",8.50
924,R1200,iXOSÃ¢ÂÂ¢ (NLT 90% oligosaccharides and NLT 75% XOS),"7623-06142020
",8.466
921,R1198,Coconut Oil Powder,"16112
",8.465
779,R103,Pau D'Arco Powder,"SBU-S040239B
",8.464
1546,R949,Organic Red Raspberry Leaf Powder,"93052-53
",8.427
867,R1130,Organic Larch Arabinogalactan Powder,"TM191221
",8.422
1217,R368,Beet Root Powder,"QM201025TCGF
",8.392
731,R062,Feverfew Extract 4:1,"TPE/20-01-007-B
",8.325
1186,R309,Conjugated Linoleic Acid (CLA) 60%,"5135-20201041
",8.26
1292,R464,Rutin,"JLD-T-111214
",8.225
1148,R239,Vitamin E (d-alpha-tocopherol) Succinate (Natural),"VS1210200312
",8.192
832,R1092,Uva Ursi (leaf) extract (20% Arbutins),"CXGY-A-925850
",8.191
873,R1138,Organic Fennel Seed Extract 10:1,"HK200304
",8.164
1111,R183,Vanadyl Sulfate,"0338010/1.1
",8.131
1033,R1324,Cordyceps Mushroom 4:1 Extract,"CO200316
",8.10
1475,R851,Pumpkin Seed Powder,"SBT-S06053B
",8.076
697,R039,Garcinia Cambogia Extract 60%,"I-18054
",8.037
1414,R736,Organic Maca Root Powder,"LH200001MKF
",8.036
1460,R833,Pumpkin Seed Extract 4:1,"SB20-H091393
",8.00
641,PS#10401,"Shrink Bands - 86mm x 28mm, Perforated","07-30-2021
",8.00
542,PS#10290,44 Gallon Fibre Drum with Lid,"10-01-2021
",8.00
585,PS#10331,"Foam Cups - 6oz - 1,000/case",,8.00
997,R1274,PEPTIPLUSÃÂ® XB aggl. (Collagen Bovine Peptides),"8620195
",8.00
1427,R767,St. John's Wort Extract 0.3% Hypericins,"CGYLQ-A-900814
",8.00
619,PS#10371,.05x68x500 Clear W/Vert. Perf. Roll,"10371
",8.00
429,PS#10199,Hair and Beard Net Combo - white,,8.00
721,R052,White Willow Bark Extract 15%,"SA170302
",8.00
626,PS#10385,"Molded Rubber Bumper - 11-3/8""W x 12-1/2""L x 3-1/2""H","652901
",8.00
1311,R502,Oat Straw (Avena Sativa) P.E. 10:1,"20200316
",8.00
1006,R1288,Fo-Ti (Polygonum multiflorum thunb)(root),"21A005-267
",8.00
642,PS#10402,"Shrink Bands - 86mm x 56mm, Perforated","07-30-2021
",8.00
1007,R1289,Pygeum (Pygeum Africanum)(bark),"SB19-H101420
",8.00
600,PS#10347,"6cc Natural Medium Handle Scoop 3""","4330068
","8,938.00"
608,PS#10357,38-400 HS-035 universal liner,,"8,500.00"
430,PS#10201,"Pink 3 X 5"" HOLD Slip - Blending Dept 1000/Roll",,"8,000.00"
1410,R732,Turmeric Extract 95% Curcuminoids - Natural,"JH210506
",79.845
261,PS#10021,38-400 Green Fine Rib Lid - Pressure Sensitive Liner 2900/case,"891155889
",79.00
151,L#436,"Tru Body Wellness, Silagen Bruise Supplement - 14 ct Label",,781.00
491,PS#10243,60oz White Wide Mouth HDPE 120mm Canister (1775cc),"B1582
",770.00
154,L#467,"Pogue Medical Services, Nerve Reverse - 180 ct Label",,77.00
534,PS#10281,"TRASH CAN FLAT LID - 32 GALLON, GRAY","1048GR
",77.00
497,PS#10250,"TRASH CAN - 32 GALLON, GRAY","1045GR
",77.00
568,PS#10309,70-400 Black Lid Smooth Side Heat Inductive Liner,"202001559004
",760.00
61,FG285,Blood Sugar Ultra - Sample Bottle 60ct,"11270
",76.00
279,PS#10027,MRP-38-400 White Ribbed CRC Lid - Heat Inductive Liner 1400/case,"201801475402
",76.00
345,PS#10106,EMP-89-400 White Fine Rib Lid - Heat Inductive Liner,"46613
",756.00
729,R057,Shark Cartilage,"20210717
",75.00
448,PS#10211-COMAR,150cc Blue PET Bottle 38-400 PZ (Tall Skinny),"12819403
",746.00
564,PS#10307-ALPHA,250cc Light Amber PET Bottle 45-400,"U203867
",742.00
1312,R502,Oat Straw (Avena Sativa) P.E. 10:1,"YMC-201028
",74.88
837,R110,Organic Turmeric Powder,"CP20200690
",74.88
884,R1147,Magnesium Ascorbate 6.4%,"561097
",74.87
1110,R181,Bromelain 80 GDU/g,"SB21-H101361-80
",74.845
473,PS#10227-COMAR,250cc Cobalt Blue PET W/M RND 45/400,"21558687
",738.00
384,PS#10158,MRP-45-400 Green Ribbed Pressure Sensitive liner Lid (MRPGN05),"201711468355
",730.00
511,PS#10259,COMAR-250cc Clear PET PZ 45-400 300/case,"13616828
",703.00
532,PS#10280,7.5cc Natural Scoop Short handle 4000/case,"4326844
",700.00
152,L#462,"Pogue Medical Services, Nerve Reverse - 60 ct Label",,700.00
1329,R539,00 Plantcaps Clear Capsules,"7201005
","700,000.00"
1573,R991,0 Gelatin Black Op Body 1975 and Gray OP Cap 7989 Capsules,"7171141
","700,000.00"
1335,R549,00 Gelatin Black 8908.01 Capsules,"7163964
","70,000.00"
1568,R986,00 Swedish Orange Op. Cap 0191.01/ White Op. Body 0999.01 Gelatin Capsules,"7160355
","70,000.00"
